food_name,g_ml,specific_gravity,biblio_id,category
"wine, table, white, muscat",1.011014224,1.01327027,USDA,"Beverages, alcoholic"
"wine, table, white, pinot blanc",0.988857033,0.991063636,USDA,"Beverages, alcoholic"
"wine, table, white, pinot gris (grigio)",0.988829628,0.99103617,USDA,"Beverages, alcoholic"
"wine, table, white, riesling",0.997961437,1.000188356,USDA,"Beverages, alcoholic"
"wine, table, white, sauvignon blanc",0.990176753,0.992386301,USDA,"Beverages, alcoholic"
"wine, table, white, semillon",0.995414248,0.997635484,USDA,"Beverages, alcoholic"
"wine, white",1.02,,DK,"Beverages, alcoholic"
"yam, boiled",0.79,,KEN,Tubers and products
"yam, raw",0.66,,KEN,Tubers and products
yeast,0.95,,ASI,Miscellaneous foods
"yoghurt, berry, low fat, artificially sweetened",1.06,,FNDDS 4.1,Milk and dairy products
"yoghurt, fruits",1.0525,,DK,Milk and dairy products
"yoghurt, plain, unsweetened",1.06,,FNDDS 4.1,Milk and dairy products
"yoghurt, plain, unsweetened",1.031,,DK,Milk and dairy products
"yoghurt, strawberry, low fat",1.08,,FNDDS 4.1,Milk and dairy products
zesty italian ‘‘hamburger helper’’,1.038,,S&W,Mixed dishes
